snid,cohort
755185,alias_secondary_near_truth
3290301,alias_secondary_near_truth
2990132,alias_secondary_near_truth
1308313,alias_secondary_near_truth
310949,alias_secondary_near_truth
2952297,alias_secondary_near_truth
611303,alias_secondary_elsewhere
877104,alias_secondary_elsewhere
1490765,alias_secondary_elsewhere
1220609,alias_secondary_elsewhere
699783,alias_secondary_elsewhere
738550,alias_secondary_elsewhere
1037626,accurate_competing_peak
1895993,accurate_competing_peak
1090230,accurate_competing_peak
362709,accurate_competing_peak
3335583,accurate_competing_peak
2590742,accurate_competing_peak
891243,accurate_single_peak
2765287,accurate_single_peak
560796,accurate_single_peak
1203243,accurate_single_peak
748094,accurate_single_peak
2029682,accurate_single_peak
