wavelength,flux,phase,object_id
7531.251,3.43042544e-21,15,SN20088677_ou
7550.974,3.43297241e-21,15,SN20088677_ou
7570.866,3.2228754e-21,15,SN20088677_ou
7590.931,2.99110388e-21,15,SN20088677_ou
7611.17,3.54250356e-21,15,SN20088677_ou
7631.585,3.26079808e-21,15,SN20088677_ou
7652.178,3.07534948e-21,15,SN20088677_ou
7672.952,3.35405259e-21,15,SN20088677_ou
7693.908,3.10146847e-21,15,SN20088677_ou
7715.049,3.23942406e-21,15,SN20088677_ou
7736.378,2.9617527e-21,15,SN20088677_ou
7757.896,3.00706507e-21,15,SN20088677_ou
7779.605,3.16105254e-21,15,SN20088677_ou
7801.508,2.86393516e-21,15,SN20088677_ou
7823.608,2.77221827e-21,15,SN20088677_ou
7845.907,2.77618333e-21,15,SN20088677_ou
7868.407,2.94265201e-21,15,SN20088677_ou
7891.111,2.54005356e-21,15,SN20088677_ou
7914.021,2.80733811e-21,15,SN20088677_ou
7937.14,2.90795365e-21,15,SN20088677_ou
7960.47,2.72985092e-21,15,SN20088677_ou
7984.015,2.8177538e-21,15,SN20088677_ou
8007.776,2.90979723e-21,15,SN20088677_ou
8031.757,2.49106593e-21,15,SN20088677_ou
8055.959,2.59142216e-21,15,SN20088677_ou
8080.387,2.94735236e-21,15,SN20088677_ou
8105.042,2.59930723e-21,15,SN20088677_ou
8129.928,2.38391999e-21,15,SN20088677_ou
8155.048,2.02927599e-21,15,SN20088677_ou
8180.404,2.2215767e-21,15,SN20088677_ou
8205.999,2.15384503e-21,15,SN20088677_ou
8231.837,2.0858482e-21,15,SN20088677_ou
8257.92,2.01194074e-21,15,SN20088677_ou
8284.252,2.04260055e-21,15,SN20088677_ou
8310.835,1.95900017e-21,15,SN20088677_ou
8337.674,1.83664186e-21,15,SN20088677_ou
8364.771,1.85455267e-21,15,SN20088677_ou
8392.128,1.94837304e-21,15,SN20088677_ou
8419.751,2.19218473e-21,15,SN20088677_ou
8447.642,2.18619575e-21,15,SN20088677_ou
8475.805,1.96013835e-21,15,SN20088677_ou
8504.242,1.85955917e-21,15,SN20088677_ou
8532.957,1.83009571e-21,15,SN20088677_ou
8561.955,1.72840338e-21,15,SN20088677_ou
8591.239,1.95388543e-21,15,SN20088677_ou
8620.812,1.8340024e-21,15,SN20088677_ou
8650.677,1.81458768e-21,15,SN20088677_ou
8680.84,2.01703529e-21,15,SN20088677_ou
8711.303,1.93394322e-21,15,SN20088677_ou
8742.069,1.87657514e-21,15,SN20088677_ou
8773.146,2.15065323e-21,15,SN20088677_ou
8804.532,2.01368679e-21,15,SN20088677_ou
8836.236,2.00592187e-21,15,SN20088677_ou
8868.26,1.77184571e-21,15,SN20088677_ou
8900.607,1.99095366e-21,15,SN20088677_ou
8933.283,1.63392183e-21,15,SN20088677_ou
8966.293,1.79304848e-21,15,SN20088677_ou
8999.638,1.67548624e-21,15,SN20088677_ou
9033.324,1.3168472e-21,15,SN20088677_ou
9067.356,1.36783351e-21,15,SN20088677_ou
9101.737,1.09619536e-21,15,SN20088677_ou
9136.473,8.735414e-22,15,SN20088677_ou
9171.566,7.67892402e-22,15,SN20088677_ou
9207.023,8.3175338e-22,15,SN20088677_ou
9242.849,8.91371928e-22,15,SN20088677_ou
9279.045,8.53223069e-22,15,SN20088677_ou
9315.618,9.44083791e-22,15,SN20088677_ou
9352.573,1.23811924e-21,15,SN20088677_ou
9389.915,1.24545915e-21,15,SN20088677_ou
9427.647,1.69836659e-21,15,SN20088677_ou
9465.775,1.83313967e-21,15,SN20088677_ou
9504.305,2.16328652e-21,15,SN20088677_ou
9543.239,2.60475217e-21,15,SN20088677_ou
9582.584,2.93281087e-21,15,SN20088677_ou
9622.345,3.0302023e-21,15,SN20088677_ou
9662.526,3.2485283e-21,15,SN20088677_ou
9703.133,3.30708283e-21,15,SN20088677_ou
9744.171,3.45267328e-21,15,SN20088677_ou
9785.645,3.15033271e-21,15,SN20088677_ou
9827.559,3.09107136e-21,15,SN20088677_ou
9869.919,3.07614758e-21,15,SN20088677_ou
9912.731,2.61882938e-21,15,SN20088677_ou
9956,2.48448968e-21,15,SN20088677_ou
9999.73,2.32430361e-21,15,SN20088677_ou
10043.93,2.3098952e-21,15,SN20088677_ou
10088.6,2.04158636e-21,15,SN20088677_ou
10133.74,1.77291301e-21,15,SN20088677_ou
10179.38,1.77417095e-21,15,SN20088677_ou
10225.49,1.58347946e-21,15,SN20088677_ou
10272.11,1.48714139e-21,15,SN20088677_ou
10319.22,1.36431143e-21,15,SN20088677_ou
10366.83,1.42539355e-21,15,SN20088677_ou
10414.96,1.41859334e-21,15,SN20088677_ou
10463.6,1.3365716e-21,15,SN20088677_ou
10512.75,1.25248766e-21,15,SN20088677_ou
10562.44,1.13701589e-21,15,SN20088677_ou
10612.65,1.28375563e-21,15,SN20088677_ou
10663.4,1.09833662e-21,15,SN20088677_ou
10714.69,1.01533391e-21,15,SN20088677_ou
10766.53,1.01621743e-21,15,SN20088677_ou
10818.92,9.23719719e-22,15,SN20088677_ou
10871.86,1.1153333e-21,15,SN20088677_ou
10925.36,9.68592651e-22,15,SN20088677_ou
10979.43,8.81406078e-22,15,SN20088677_ou
11034.07,9.67075817e-22,15,SN20088677_ou
11089.28,8.59557484e-22,15,SN20088677_ou
11145.08,7.44173109e-22,15,SN20088677_ou
11201.45,5.96594071e-22,15,SN20088677_ou
11258.42,5.89310146e-22,15,SN20088677_ou
11315.97,5.17920682e-22,15,SN20088677_ou
11374.12,5.18571057e-22,15,SN20088677_ou
11432.88,4.33193689e-22,15,SN20088677_ou
11492.24,5.74474361e-22,15,SN20088677_ou
11552.2,4.50452653e-22,15,SN20088677_ou
11612.78,5.36921704e-22,15,SN20088677_ou
11673.97,5.53474101e-22,15,SN20088677_ou
11735.78,5.19734936e-22,15,SN20088677_ou
11798.21,5.56611117e-22,15,SN20088677_ou
11861.26,6.06152793e-22,15,SN20088677_ou
11924.93,5.07234179e-22,15,SN20088677_ou
11989.24,4.80548971e-22,15,SN20088677_ou
12054.17,5.5148294e-22,15,SN20088677_ou
12119.74,4.2404992e-22,15,SN20088677_ou
12185.94,3.66023887e-22,15,SN20088677_ou
12252.77,3.02018162e-22,15,SN20088677_ou
12320.24,2.92657601e-22,15,SN20088677_ou
12388.35,3.23489769e-22,15,SN20088677_ou
12457.09,2.97348383e-22,15,SN20088677_ou
12526.46,3.10408613e-22,15,SN20088677_ou
12596.47,3.40921752e-22,15,SN20088677_ou
12667.12,3.26716854e-22,15,SN20088677_ou
12738.4,3.44981748e-22,15,SN20088677_ou
12810.31,3.01291804e-22,15,SN20088677_ou
12882.85,3.01537398e-22,15,SN20088677_ou
12956.02,2.87243163e-22,15,SN20088677_ou
13029.82,2.43656238e-22,15,SN20088677_ou
13104.23,1.91867343e-22,15,SN20088677_ou
13179.27,2.14543484e-22,15,SN20088677_ou
13254.91,1.76017474e-22,15,SN20088677_ou
13331.17,2.10971913e-22,15,SN20088677_ou
13408.04,1.7327504e-22,15,SN20088677_ou
13485.5,1.28752222e-22,15,SN20088677_ou
13563.56,1.32841993e-22,15,SN20088677_ou
13642.21,1.09720543e-22,15,SN20088677_ou
13721.43,1.27983014e-22,15,SN20088677_ou
13801.24,1.68511658e-22,15,SN20088677_ou
13881.6,1.27251064e-22,15,SN20088677_ou
13962.53,1.21944062e-22,15,SN20088677_ou
14044,1.08838824e-22,15,SN20088677_ou
14126.02,1.53049593e-22,15,SN20088677_ou
14208.56,1.87999892e-22,15,SN20088677_ou
14291.63,1.42927397e-22,15,SN20088677_ou
14375.21,1.01609197e-22,15,SN20088677_ou
14459.28,1.63798233e-22,15,SN20088677_ou
14543.84,1.22793028e-22,15,SN20088677_ou
14628.88,1.32631146e-22,15,SN20088677_ou
14714.38,1.40076251e-22,15,SN20088677_ou
14800.33,6.46645945e-23,15,SN20088677_ou
14886.72,6.4457427e-23,15,SN20088677_ou
14973.53,9.97484638e-23,15,SN20088677_ou
15060.75,8.952429e-23,15,SN20088677_ou
15148.36,8.21686922e-23,15,SN20088677_ou
15236.35,7.23931216e-23,15,SN20088677_ou
15324.7,1.07054837e-22,15,SN20088677_ou
15413.41,9.50915339e-23,15,SN20088677_ou
15502.44,1.11932635e-22,15,SN20088677_ou
15591.79,1.09751605e-22,15,SN20088677_ou
15681.44,1.54754277e-22,15,SN20088677_ou
15771.37,9.74746385e-23,15,SN20088677_ou
15861.56,7.22172561e-23,15,SN20088677_ou
15952.01,1.09196373e-22,15,SN20088677_ou
16042.68,6.7701122e-23,15,SN20088677_ou
16133.56,9.19790232e-23,15,SN20088677_ou
16224.64,1.10160475e-22,15,SN20088677_ou
16315.9,7.4912371e-23,15,SN20088677_ou
16407.31,7.58617493e-23,15,SN20088677_ou
16498.86,6.08525725e-23,15,SN20088677_ou
16590.53,1.13024974e-22,15,SN20088677_ou
16682.31,7.68429092e-23,15,SN20088677_ou
16774.17,1.41813664e-22,15,SN20088677_ou
16866.09,1.06701238e-22,15,SN20088677_ou
16958.06,1.28360758e-22,15,SN20088677_ou
17050.07,1.27346535e-22,15,SN20088677_ou
17142.08,1.23529862e-22,15,SN20088677_ou
17234.08,1.43835003e-22,15,SN20088677_ou
17326.06,1.7140472e-22,15,SN20088677_ou
17418,1.55162011e-22,15,SN20088677_ou
17509.88,1.51674816e-22,15,SN20088677_ou
17601.68,1.56042001e-22,15,SN20088677_ou
17693.38,1.36332709e-22,15,SN20088677_ou
17784.98,1.23039961e-22,15,SN20088677_ou
17876.44,1.69808949e-22,15,SN20088677_ou
17967.76,1.51766173e-22,15,SN20088677_ou
18058.91,2.01232371e-22,15,SN20088677_ou
18149.89,3.37017282e-22,15,SN20088677_ou
