object_id,wavelength,flux,flux_err,phase
2791003,7450.550049,2.49893298e-17,1.95086577e-17,7.478738
2791003,7469.750000,6.71026739e-18,5.21151331e-18,7.478738
2791003,7489.099854,4.48276181e-18,1.76153157e-18,7.478738
2791003,7508.549805,4.09575585e-18,8.75860709e-19,7.478738
2791003,7528.149902,5.46175033e-18,5.81540541e-19,7.478738
2791003,7547.949951,4.59721755e-18,4.75683963e-19,7.478738
2791003,7567.899902,4.61864732e-18,4.37870694e-19,7.478738
2791003,7587.949951,5.22871660e-18,4.27218960e-19,7.478738
2791003,7608.149902,4.40279413e-18,4.19515453e-19,7.478738
2791003,7628.549805,4.51099059e-18,4.15436573e-19,7.478738
2791003,7649.099854,5.55583923e-18,4.11912009e-19,7.478738
2791003,7669.750000,5.37077412e-18,4.08193289e-19,7.478738
2791003,7690.600098,5.43430200e-18,4.02225724e-19,7.478738
2791003,7711.650146,5.77945759e-18,3.98728559e-19,7.478738
2791003,7732.800049,5.74287676e-18,3.94034154e-19,7.478738
2791003,7754.099854,5.32216402e-18,3.86801364e-19,7.478738
2791003,7775.599854,5.13318179e-18,3.81958325e-19,7.478738
2791003,7797.300049,4.91872984e-18,3.76885873e-19,7.478738
2791003,7819.150146,4.72712627e-18,3.72632355e-19,7.478738
2791003,7841.199951,4.61041026e-18,3.66242979e-19,7.478738
2791003,7863.449951,4.50556098e-18,3.60915703e-19,7.478738
2791003,7885.850098,4.76013078e-18,3.54014355e-19,7.478738
2791003,7908.400146,4.29361994e-18,3.45007883e-19,7.478738
2791003,7931.150146,3.84373377e-18,3.37209146e-19,7.478738
2791003,7954.100098,3.98975638e-18,3.31365038e-19,7.478738
2791003,7977.199951,3.25323745e-18,3.26324665e-19,7.478738
2791003,8000.549805,2.58470822e-18,3.23462077e-19,7.478738
2791003,8024.099854,1.70285438e-18,3.19867667e-19,7.478738
2791003,8047.800049,1.69128853e-18,3.13687542e-19,7.478738
2791003,8071.750000,1.98712420e-18,3.06369578e-19,7.478738
2791003,8095.899902,2.35175079e-18,3.02733034e-19,7.478738
2791003,8120.199951,2.49554559e-18,3.00069073e-19,7.478738
2791003,8144.750000,3.06746613e-18,2.97676944e-19,7.478738
2791003,8169.550049,3.81928810e-18,2.96034836e-19,7.478738
2791003,8194.500000,3.49549570e-18,2.94068524e-19,7.478738
2791003,8219.649902,3.14973503e-18,2.91854911e-19,7.478738
2791003,8245.100098,3.58255025e-18,2.89418942e-19,7.478738
2791003,8270.750000,4.09251951e-18,2.87959407e-19,7.478738
2791003,8296.599609,3.77851554e-18,2.84572103e-19,7.478738
2791003,8322.699707,3.43618974e-18,2.81194362e-19,7.478738
2791003,8349.049805,3.50666801e-18,2.76625404e-19,7.478738
2791003,8375.649902,3.67773475e-18,2.73271833e-19,7.478738
2791003,8402.450195,3.59397527e-18,2.69946903e-19,7.478738
2791003,8429.500000,4.11272339e-18,2.66186152e-19,7.478738
2791003,8456.799805,4.06023051e-18,2.63267704e-19,7.478738
2791003,8484.350098,3.55075219e-18,2.58547889e-19,7.478738
2791003,8512.200195,3.26074453e-18,2.54645458e-19,7.478738
2791003,8540.300293,3.22348025e-18,2.51473711e-19,7.478738
2791003,8568.600098,3.55751025e-18,2.47979416e-19,7.478738
2791003,8597.199707,3.30813598e-18,2.42926299e-19,7.478738
2791003,8626.099609,3.46357728e-18,2.39902695e-19,7.478738
2791003,8655.250000,2.74110264e-18,2.36286417e-19,7.478738
2791003,8684.650391,2.87508480e-18,2.31998752e-19,7.478738
2791003,8714.350098,2.55228501e-18,2.28222440e-19,7.478738
2791003,8744.350098,3.12229848e-18,2.24974463e-19,7.478738
2791003,8774.650391,2.93935839e-18,2.21384836e-19,7.478738
2791003,8805.250000,1.99120758e-18,2.17905972e-19,7.478738
2791003,8836.149902,2.51728803e-18,2.14531954e-19,7.478738
2791003,8867.350098,2.47594141e-18,2.11531021e-19,7.478738
2791003,8898.850098,2.72982093e-18,2.07369242e-19,7.478738
2791003,8930.649902,2.22958407e-18,2.04579679e-19,7.478738
2791003,8962.750000,2.18744170e-18,2.01501520e-19,7.478738
2791003,8995.250000,1.81002938e-18,1.97940870e-19,7.478738
2791003,9028.049805,2.15738072e-18,1.95507098e-19,7.478738
2791003,9061.149902,1.79167569e-18,1.92440661e-19,7.478738
2791003,9094.600098,1.98814163e-18,1.89059341e-19,7.478738
2791003,9128.400391,1.70031194e-18,1.86270062e-19,7.478738
2791003,9162.550293,1.67712555e-18,1.83810298e-19,7.478738
2791003,9197.050293,1.92324931e-18,1.80649900e-19,7.478738
